ticker,class_code,side,notional,entry_price,lot_size
IMOEX,SPBFUT_CONT,short,15174.503636400934,544130.4852085543,1
IRAO,SPBFUT_CONT,short,10891.709123526358,52461.51449261894,1
AKRN,TQBR,short,9354.667617432187,16292.0,1
AFLT,SPBFUT_CONT,long,6137.154200944283,7825.659301719011,1
AKRN,TQBR,short,5430.175289104414,16200.0,1
MOEX,SPBFUT_CONT,long,8045.22928922396,24991.43570694337,1
ALRS,SPBFUT_CONT,long,4988.393646608989,12274.33601299266,1
SBER,SPBFUT_CONT,long,10416.082269000235,39571.80257939971,1
OZON,TQBR,long,4077.923215135431,4510.0,1
SIBN,SPBFUT_CONT,short,5417.798189376673,9113.902721937957,1
AFLT,SPBFUT_CONT,long,3354.9787488142106,7556.818625027303,1
MGNT,SPBFUT_CONT,short,7249.327235495472,10676.889862799975,1
VSMO,TQBR,short,2440.2992639099425,35020.0,1
LKOH,TQBR,short,6713.169389666627,7185.0,1
Nasdaq 100,SPBFUT_CONT,long,12605.078124330137,20528.979887448964,1
OZON,TQBR,long,3430.992106301844,4191.0,1
MOEX,SPBFUT_CONT,long,5022.582251488344,25157.986839329173,1
MGNT,SPBFUT_CONT,short,6029.57268947058,9210.157375611416,1
MGNT,TQBR,short,5650.257953463732,6669.5,1
GAZP,SPBFUT_CONT,short,7147.132519578833,20518.312282092476,1
NLMK,SPBFUT_CONT,short,4941.013433651615,26963.096099143448,1
Индекс госуд,SPBFUT_CONT,short,11451.75585293749,13379.761587837407,1
ALRS,SPBFUT_CONT,short,5039.441475446763,11111.130204011635,1
BSPB,TQBR,long,3027.4530135545842,368.74,10
OZON,TQBR,long,2871.3519806901236,4513.0,1
MOEX,TQBR,long,2119.471557435597,244.83,10
MOEX,SPBFUT_CONT,long,4360.011771169374,25680.281457997226,1
ALRS,SPBFUT_CONT,short,11001.757092441434,11384.774527487229,1
FLOT,SPBFUT_CONT,short,4524.425648258646,15380.988517933734,1
MDMG,TQBR,short,752.2925556727472,1000.0,1
ROSN,SPBFUT_CONT,short,9711.880396975639,80455.57416242345,1
TATN,SPBFUT_CONT,short,9222.506393189253,87681.9999303561,1
RTKM,SPBFUT_CONT,short,4120.0957860772505,11625.575692295748,1
FLOT,SPBFUT_CONT,short,3010.8386446153095,15305.163123334964,1
AFLT,SPBFUT_CONT,long,4785.948681879102,8020.746754666208,1
HYDR,SPBFUT_CONT,long,6867.898046295875,9276.827974759874,1
MGNT,TQBR,short,5707.3861598571275,6477.0,1
CBOM,SPBFUT_CONT,long,6584.694063238058,8413.844145549554,1
POSI,SPBFUT_CONT,long,4331.69403066146,4584.941801094614,1
ROSN,SPBFUT_CONT,short,7166.097632809601,78189.41845373742,1
SNGSP,SPBFUT_CONT,short,5224.67479501473,63879.833953244626,1
USD/RUB,SPBFUT_CONT,short,8131.714776298639,114330.96930121382,1
Nasdaq 100,SPBFUT_CONT,long,21165.91899780587,21684.93656556976,1
DZRD,TQBR,long,2160.0176192700296,4290.0,1
FEES,SPBFUT_CONT,short,7419.376717183311,15006.069909357366,1
LKOH,SPBFUT_CONT,short,12060.562084171801,88304.77302262808,1
CBOM,SPBFUT_CONT,long,5374.333929599289,9128.745935694287,1
LKOH,SPBFUT_CONT,short,10861.206151300856,88526.1472669242,1
EUR/RUB,SPBFUT_CONT,short,11484.738652275917,110089.25820980984,1
DZRD,TQBR,short,1658.4385664803704,4460.0,1
FEES,SPBFUT_CONT,short,11096.54223511307,14995.163344510009,1
DZRD,TQBR,long,1642.390899637054,4820.0,1
SNGS,SPBFUT_CONT,short,7852.813901333193,43387.912743562585,1
AFLT,SPBFUT_CONT,short,6389.191020407059,7830.957974359384,1
IRAO,SPBFUT_CONT,short,15207.742355432172,50913.0340879252,1
MTSS,SPBFUT_CONT,short,15568.263591753437,28919.475431067825,1
SNGSP,SPBFUT_CONT,short,8903.685692929283,68967.20861961147,1
GAZP,SPBFUT_CONT,short,5428.951310264753,20465.477733166612,1
Tracker Fund,SPBFUT_CONT,short,11438.728799149932,21962.73690114706,1
GAZP,SPBFUT_CONT,long,5752.163753738272,20481.29095966419,1
USD/RUB,SPBFUT_CONT,short,15260.220215769708,117066.2295343746,1
EUR/RUB,SPBFUT_CONT,long,13277.962554278047,114988.81067885716,1
MOEX,SPBFUT_CONT,long,7895.519068068067,25816.3289449821,1
AKRN,TQBR,short,10332.32857960192,15482.0,1
LKOH,SPBFUT_CONT,short,10236.220995718912,87462.84438075723,1
IRAO,SPBFUT_CONT,short,5673.449460693731,49856.97906035653,1
SBERP,SPBFUT_CONT,long,11085.59555752167,37697.7280291742,1
SBER,SPBFUT_CONT,long,9230.865803586621,38209.66464889005,1
RUAL,SPBFUT_CONT,short,5733.551041898425,6178.897297931417,1
MTSS,SPBFUT_CONT,short,5939.462283987086,26039.05380416268,1
GAZP,SPBFUT_CONT,short,7519.727715821261,19681.1416988867,1
MOEX,SPBFUT_CONT,short,8001.485770975932,24732.167575831332,1
AFKS,SPBFUT_CONT,short,6282.557891266162,29066.407469712867,1
LKOH,SPBFUT_CONT,short,7267.1920883978455,83949.11701384447,1
VSMO,TQBR,short,7998.72839597871,30100.0,1
VSMO,TQBR,short,8558.842794642736,29920.0,1
VSMO,TQBR,short,7294.781225355671,29880.0,1
MGNT,TQBR,short,4060.58497475589,5856.0,1
RTGZ,TQBR,short,4081.7721888454394,35000.0,1
MGNT,SPBFUT_CONT,short,7173.818269729625,7949.954330256215,1
TATN,SPBFUT_CONT,short,4852.376706313274,82407.42810156611,1
AFKS,SPBFUT_CONT,short,7285.493121582341,28660.554785205804,1
Tracker Fund,SPBFUT_CONT,short,17201.154720460843,21848.812543959288,1
SNGSP,SPBFUT_CONT,short,8434.119084049995,59057.52577066278,1
RTKM,SPBFUT_CONT,short,5919.21792152656,11012.399350507108,1
Nasdaq 100,SPBFUT_CONT,short,17540.97997609803,21420.44662388785,1
VSMO,TQBR,short,11454.343107664023,30260.0,1
