seed,return_pct,cagr_pct,sharpe,max_dd_pct,pct_profitable_missed_to_margin,avg_margin_util_pct,risk_per_trade,margin_cap,block
0,296.0963372393662,78.58365104943721,1.4939944713609026,32.780448156052664,49.382171226831424,65.05485838687514,0.005,0.8,in_sample
1,469.8795948944369,108.15963442077762,1.86150529745606,26.231256691247395,48.05825242718447,64.84792719409614,0.005,0.8,in_sample
2,275.22954917072997,74.55810253053372,1.435818643051683,33.40173744656273,49.60282436010591,65.16852838173472,0.005,0.8,in_sample
3,423.5557865434953,100.85604944094233,1.808948986451905,24.902974217559695,49.16151809355693,64.9310477495889,0.005,0.8,in_sample
4,515.6628044503415,115.04760110111043,1.9012304762657908,29.689870518424737,48.190644307149164,64.81618507044878,0.005,0.8,in_sample
5,446.29834450558656,104.48651142197703,1.7598345534379052,26.969826458641727,47.837599293909975,64.84787628962084,0.005,0.8,in_sample
6,135.02469235100332,43.33187924396875,0.9587879360554968,43.03560087363615,49.9558693733451,64.90719787545537,0.005,0.8,in_sample
7,369.7327370794782,91.88344323346729,1.6394893035776759,27.79621592654184,49.29390997352162,64.78514808893433,0.005,0.8,in_sample
8,92.97426552394994,31.90925418629671,0.7848948989004609,41.05216978599949,49.86760812003531,64.97546154048118,0.005,0.8,in_sample
9,160.25671827089334,49.62378891228396,1.0758877347052327,40.36187933008973,49.382171226831424,64.92163476030083,0.005,0.8,in_sample
10,200.52140148307035,58.97157723933919,1.2018620859104643,43.46137302459411,49.9558693733451,65.13197915550603,0.005,0.8,in_sample
11,390.1418646447232,95.35249324933841,1.696080519595674,27.91274671651125,48.89673433362754,64.82315464856899,0.005,0.8,in_sample
12,191.3678307347365,56.913419246187246,1.1665902627195017,31.281370073280108,49.29390997352162,64.65307653494853,0.005,0.8,in_sample
13,230.88934939698927,65.55111456040439,1.3363199032874913,37.85633113120042,49.382171226831424,64.92355671858287,0.005,0.8,in_sample
14,315.4609137678791,82.2109876078543,1.5097082915448912,35.98743988790125,48.852603706972644,64.9029244642927,0.005,0.8,in_sample
15,35.64338955638118,13.704311566143756,0.4504637127973947,49.97429518213081,50.75022065313327,65.04045864454382,0.005,0.8,in_sample
16,142.12155768702002,45.13953322302689,1.0124928390434296,40.238698711993145,50.66195939982347,64.92389127222292,0.005,0.8,in_sample
17,363.43475330718036,90.79538304251598,1.6492542499552914,30.70551896282755,48.499558693733455,64.96638612204177,0.005,0.8,in_sample
18,108.27752953962269,36.219024522683775,0.853592089699284,51.60035531062287,50.220653133274496,65.04275308276436,0.005,0.8,in_sample
19,450.94254827458514,105.21706537915496,1.7739321457961872,34.292254264106596,48.499558693733455,65.05064552334123,0.005,0.8,in_sample
20,177.66855787437962,53.76201191277297,1.126483666027849,48.17672619814087,49.33804060017653,64.72456081623145,0.005,0.8,in_sample
21,193.3483526313743,57.361872589167874,1.192354739255111,38.08487441571572,49.382171226831424,64.69307882430606,0.005,0.8,in_sample
22,298.79228424588405,79.09470909933563,1.486300349419243,35.25448656204652,48.98499558693734,64.8213282299032,0.005,0.8,in_sample
23,288.36719168865443,77.10721673503546,1.4774412215023605,28.988244225062143,49.11738746690203,64.72230969451678,0.005,0.8,in_sample
24,161.9777130860351,50.03981491737508,1.088412028877726,42.393920512115926,50.26478375992939,65.13236015285364,0.005,0.8,in_sample
25,136.46316686768068,43.7008018276398,0.9776230561997741,46.420367529522,49.07325684024713,64.8687432144769,0.005,0.8,in_sample
26,260.9397068942683,71.72606895114826,1.4313792755818495,33.38259765997341,49.69108561341571,64.74557280718113,0.005,0.8,in_sample
27,283.90458670157665,76.24700834571256,1.448893980784312,36.5306763118854,49.69108561341571,64.96146838889003,0.005,0.8,in_sample
28,107.89655642244323,36.11399997175371,0.856161691759567,49.8479208763624,49.735216240070606,65.08077326021024,0.005,0.8,in_sample
29,314.78280866462336,82.0856395038996,1.5062475986112371,35.7001254167569,49.16151809355693,65.035450191543,0.005,0.8,in_sample
0,134.7227516318505,189.6871900665668,2.1809894386894735,18.712795479062,64.64577656675749,69.22274217113895,0.005,0.8,validation
1,155.67348251296656,222.26689149377736,2.2474465628543543,19.198487718537606,63.96457765667575,69.09385181586447,0.005,0.8,validation
2,158.51662436788922,226.74036134564807,2.4148820767645893,20.313482093882378,62.46594005449592,68.90774077118867,0.005,0.8,validation
3,85.84470378164522,116.53052803851902,1.6650510202831692,27.2847564107994,63.079019073569484,68.92227442082289,0.005,0.8,validation
4,96.06488194084764,131.47378526779457,1.7418837867868822,26.251160735723992,64.30517711171662,68.88112636243544,0.005,0.8,validation
5,154.75240691748434,220.82027049729783,2.3920436450160456,22.653633516706556,64.10081743869209,69.24121012999585,0.005,0.8,validation
6,128.02460476715294,179.41863000390418,1.990511249033999,25.06465436492247,62.26158038147139,69.0004433259232,0.005,0.8,validation
7,156.39427418167483,223.39984786991587,2.244514566337302,21.717620571036722,61.64850136239782,68.93731134451939,0.005,0.8,validation
8,130.45519848424112,183.13635696686177,2.1009977475159345,18.551137731564246,64.3732970027248,69.3989160431142,0.005,0.8,validation
9,146.99787420108373,208.69263612406814,2.287446895345699,23.86948727503027,62.94277929155313,68.93389838320776,0.005,0.8,validation
10,110.36860363426003,152.71081672206512,2.041022402879193,24.345953946001824,62.874659400544964,68.81035753544451,0.005,0.8,validation
11,132.8396158424006,186.79286253269237,2.3237346198791626,21.85138468113392,64.91825613079018,69.05771692494905,0.005,0.8,validation
12,88.70325489071543,120.6901818234846,1.7801013873489895,25.303328520966613,63.01089918256131,69.3864447076049,0.005,0.8,validation
13,132.66591962200502,186.52618619431243,2.22000765695611,22.13364447684214,61.98910081743869,69.0995958117217,0.005,0.8,validation
14,126.58466100896094,177.2207550616479,2.0064402348685544,19.298936114139526,61.171662125340596,68.58941114397281,0.005,0.8,validation
15,118.8206035863657,165.42972305435177,1.8975988063790468,23.510588069527707,62.60217983651226,68.85647640909805,0.005,0.8,validation
16,122.23804778166726,170.6071928709665,2.0660080201480633,21.98693522408305,62.19346049046322,68.71181600980269,0.005,0.8,validation
17,84.52163476689343,114.61056886554908,1.6216611384833657,23.805184089818518,62.73841961852861,68.88328694034104,0.005,0.8,validation
18,165.42916333649998,237.6671979627806,2.3372165746210896,20.357902498952672,61.03542234332425,68.86435458318361,0.005,0.8,validation
19,152.89991920443512,217.91470153768967,2.291755457028123,26.395816673305404,61.920980926430516,69.14284454340776,0.005,0.8,validation
