pool,block,n_trades,cagr_p10,cagr_median,cagr_p90,pct_positive,infeasible_median,disprop_median
"77 (как есть, с GMKN/TRNFP/VTBR)",in_sample,6201,76.4414409792304,97.01118501341554,108.3618412923491,100.0,39.08996978323844,63.37515512411575
"77 (как есть, с GMKN/TRNFP/VTBR)",validation,3707,210.4826193496562,261.9285679615305,291.89023418529575,100.0,25.77841684272798,55.66644252374002
"77 (как есть, с GMKN/TRNFP/VTBR)",holdout,4689,96.27142606621081,151.66350143954838,205.09468541241012,100.0,30.408305149946305,66.7892156862745
74 (без GMKN/TRNFP/VTBR),in_sample,6019,87.45548338278843,95.07234426425525,109.19199305244065,100.0,39.957484277335,64.0
74 (без GMKN/TRNFP/VTBR),validation,3572,250.15647619208806,275.0578172939012,324.564009958352,100.0,26.392775714688767,57.3466341865093
74 (без GMKN/TRNFP/VTBR),holdout,4555,130.28947453076026,162.5555768457038,215.42225824382902,100.0,31.649103978649155,66.66666666666666
