risk_per_trade,margin_cap,block,pct_infeasible_p10,pct_infeasible_median,pct_infeasible_p90,pct_disprop_p10,pct_disprop_median,pct_disprop_p90,OLD_pct_infeasible_median,OLD_pct_disprop_median,cagr_pct_median,cagr_pct_p10,cagr_pct_p90,sharpe_median,pct_runs_positive_return,missed_profit_median
0.003,0.8,in_sample,37.38206059685939,39.08996978323844,40.553843499555796,61.66054002088708,63.37515512411575,65.69234346164465,35.52358031165718,63.37515512411575,97.01118501341554,76.4414409792304,108.3618412923491,2.1176099300438844,100.0,18.468667255075022
0.003,0.8,validation,25.317313589766055,25.77841684272798,26.275878479820232,52.451209992193604,55.66644252374002,58.350622406639005,21.777788616300057,55.66644252374002,261.9285679615305,210.4826193496562,291.89023418529575,3.105268708966317,100.0,34.67302452316076
0.003,0.8,holdout,29.072304840916114,30.408305149946305,32.30287884410649,57.719020462931894,66.7892156862745,74.37762237762239,26.150028467977975,66.7892156862745,151.66350143954838,96.2714260662108,205.09468541241012,2.0840307903478004,100.0,47.18909710391823
0.005,0.8,in_sample,28.91051477351006,31.75341802611873,36.49676494375414,58.78439568746469,63.905439518638914,71.9606214211959,29.466244342949267,63.905439518638914,73.142085740841,36.20852206759077,104.55956681769482,1.4335989593167664,100.0,49.36010591350397
0.005,0.8,validation,19.36090756927655,20.160328004477215,21.136686849868035,41.90985485103132,44.95614035087719,48.17991967871486,17.22215659928832,44.95614035087719,173.0129511127773,116.33853212122204,223.7338992174891,2.0728875702163982,100.0,63.0449591280654
0.005,0.8,holdout,23.749205229963508,25.10926832380796,26.923879126069142,51.48317307692308,58.131393593828605,66.62963262227969,19.973214302036283,58.131393593828605,220.5351409273438,133.67215147099398,307.4556175865033,2.12735745381145,100.0,68.37024417944349
0.007,0.8,in_sample,26.573388291468298,29.99282651267469,35.78965171636182,61.90268496658797,65.00491751563399,74.53287290070975,28.45432261589684,65.00491751563399,46.71656451970124,3.977577764489213,74.87089928644609,0.9637416529354808,90.0,62.44483671668137
0.007,0.8,validation,15.80336725254394,17.148187328453798,17.7952398626947,35.846945742948684,40.74996540749965,45.849634935941594,14.438613115630387,40.74996540749965,156.26520743602714,85.90710400218833,257.8486080379259,1.774714874876183,100.0,73.56948228882834
0.007,0.8,holdout,18.872843440489248,21.534759717826187,23.5412735213242,45.0437660328588,53.24898785425101,63.6555142503098,16.401677330382775,53.24898785425101,251.57381946743297,123.13162630167956,458.4812925913195,2.0818381223546787,100.0,77.28563316297559
0.01,0.8,in_sample,24.533443151789697,30.930903072710365,39.123618938453205,61.183457810265374,70.3502888830822,75.73542399697736,30.188651532242908,70.3502888830822,-22.718036752048725,-42.75685140550194,13.909797349553624,-0.2627217998792507,33.33333333333333,73.72021182700794
0.01,0.8,validation,14.03694588324751,15.348988760870025,16.71309457131685,36.019200349097254,41.53106340307215,49.285714285714285,13.130524123177391,41.53106340307215,87.26541038193773,8.20440860347267,145.10363935510702,1.1546941018392998,96.66666666666669,82.11852861035422
0.01,0.8,holdout,15.636873269320066,17.705098461875707,20.03726708074534,42.64946070878274,52.204932851239676,66.10851126060253,12.649122807017545,52.20493285123968,271.6261709930353,90.4716816905048,488.3569568360268,2.0542575249215833,100.0,84.44065871663827
0.013,0.8,in_sample,18.71121874065406,29.564654474834114,38.88714543931401,45.590094339622645,59.992265820802004,73.74903076145954,29.15785440912592,59.992265820802,-41.21843020983851,-49.834218075294345,20.80971082841008,-0.5862268133533286,16.666666666666664,79.50132391879964
0.013,0.8,validation,12.260446854258202,13.694959314851415,15.82796663215928,36.41020423264762,43.557556120370194,56.06993006993007,12.11681329962799,43.557556120370194,16.446488257080404,-21.412089881421057,98.44877015780266,0.4530788487959829,60.0,86.71662125340599
0.013,0.8,holdout,12.432411938366966,15.423023174566206,17.26430604632902,41.90112359550562,47.382951365252254,57.326188102359595,10.066832044360131,47.382951365252254,262.12552031611597,125.34475380318938,538.8393964431094,1.808267897819779,100.0,87.9045996592845
0.015,0.8,in_sample,26.225907670724556,36.57950382662887,39.80844645550528,41.34441971935843,49.08185724559155,65.7139569291468,35.47986410452671,49.08185724559155,-49.170559394217534,-57.37551654811299,-34.812810544998136,-0.7049382071617861,6.666666666666667,82.17122683142101
0.015,0.8,validation,11.353144124532795,13.129151464121996,14.867197875166003,31.39488652051466,45.39350577875619,56.402123424021234,10.964630092466573,45.39350577875619,1.7059556160833989,-39.05927010775768,78.33573145821947,0.2784616751354147,53.333333333333336,88.45367847411444
0.015,0.8,holdout,13.426281971768091,15.634898427444178,17.637007351314143,46.14579138139347,53.06951502603677,64.47239125535272,10.163000064768235,53.06951502603677,157.03049133845707,55.8874315952002,316.2049375121184,1.4595061913371432,100.0,89.92049971607042
