test,risk_per_trade,margin_cap,block,return_pct_p10,return_pct_median,return_pct_p90,cagr_pct_p10,cagr_pct_median,cagr_pct_p90,sharpe_p10,sharpe_median,sharpe_p90,max_dd_pct_p10,max_dd_pct_median,max_dd_pct_p90,pct_profitable_missed_to_margin_p10,pct_profitable_missed_to_margin_median,pct_profitable_missed_to_margin_p90,avg_margin_util_pct_p10,avg_margin_util_pct_median,avg_margin_util_pct_p90,pct_runs_positive_return,n_runs
risk_grid,0.005,0.8,in_sample,108.23943222790474,268.08462803249915,446.7627648824864,36.20852206759077,73.142085740841,104.55956681769482,0.8559047315535387,1.4335989593167664,1.7774338298617591,27.713576979751828,35.843782652329075,48.34384566596302,48.468667255075026,49.36010591350397,50.22506619593999,64.72433570405998,64.92259573944185,65.08589384973982,100.0,30
risk_grid,0.005,0.8,validation,85.71239688017005,123.82137764205825,156.60650920029627,116.33853212122203,173.0129511127773,223.7338992174891,1.66283509341398,2.0728875702163982,2.342699281660585,19.15118109491793,22.59421194354683,26.39870819334753,61.83242506811989,63.0449591280654,64.64577656675749,68.7365158142939,68.93617646476513,69.31141722084465,100.0,30
risk_grid,0.005,0.8,holdout,93.01152074707335,146.58031752627122,196.9482580310861,133.67215147099398,220.5351409273438,307.4556175865033,1.6129983011673248,2.12735745381145,2.5698873169397047,18.74712903333537,26.8431096653632,30.397574982386622,67.5298126064736,68.37024417944349,69.05167518455423,70.05046701885986,70.3228024974972,70.67831554971521,100.0,30
risk_grid,0.01,0.8,in_sample,-73.39733310801529,-45.75023634489203,36.24262207335484,-42.75685140550194,-22.718036752048725,13.909797349553624,-0.8138173251883105,-0.2627217998792507,0.4246910111504443,57.08137423435108,71.64621097791701,85.4946754770757,72.93468667255075,73.72021182700794,74.67343336275376,66.97304157974801,67.29833239563928,67.56382413674048,33.33333333333333,30
risk_grid,0.01,0.8,validation,6.529738415810495,65.40952777769792,105.27318997184932,8.20440860347267,87.26541038193773,145.10363935510702,0.3468463903359673,1.1546941018392998,1.5474194505703571,29.431511512977874,34.81556490490549,44.03017891070363,81.18528610354224,82.11852861035422,83.07220708446866,69.33625705768266,69.5780690785589,69.86837422315793,96.66666666666667,30
risk_grid,0.01,0.8,holdout,64.74353968139671,176.5190363811972,294.70146376238597,90.47168169050481,271.6261709930353,488.3569568360268,1.082417143800551,2.0542575249215833,2.5662107207771276,19.04246538078647,26.868709363111563,39.242055555803795,83.52640545144804,84.44065871663827,85.18455423055082,69.56133565286122,70.00673674786279,70.38495863481879,100.0,30
risk_grid,0.015,0.8,in_sample,-86.78634580302528,-79.93650211794375,-63.696557651383166,-57.37551654811299,-49.170559394217534,-34.812810544998136,-0.9860698239662331,-0.7049382071617861,-0.3963620141735483,81.15648295775894,90.25176467201658,91.91776296903298,81.32391879964696,82.17122683142101,82.94792586054722,65.78425129765122,66.12692024867727,66.4336720498806,6.666666666666667,30
risk_grid,0.015,0.8,validation,-32.787167603313016,1.3653529516070906,58.981555296625245,-39.05927010775768,1.7059556160833989,78.33573145821947,-0.3540723312862237,0.27846167513541475,1.0215347569825979,37.2458557739633,50.62468803211489,65.03834525132278,87.93596730245233,88.45367847411444,89.64577656675749,68.21658431640998,68.46308646111905,69.30093819154847,53.333333333333336,30
risk_grid,0.015,0.8,holdout,41.05405820274445,107.80705935625917,201.76668558463243,55.8874315952002,157.03049133845707,316.2049375121184,0.8354359830532222,1.4595061913371432,2.0621193529502713,22.10990102744858,30.86014562478484,40.77611895450094,89.2504258943782,89.92049971607042,91.32879045996593,67.88822649828514,68.4502547480354,69.14267586247347,100.0,30
risk_grid,0.02,0.8,in_sample,-86.13119089956,-83.30535857216077,-63.62891467817822,-56.49626783462824,-52.95791026647497,-34.896764300355166,-0.8032471797645424,-0.7022253114843127,-0.2969408601682058,79.05557740574035,91.52299516621333,92.64114062143558,86.35922330097087,86.98146513680494,88.00970873786409,64.83557025726971,65.34887673419894,65.64925627890807,3.3333333333333335,30
risk_grid,0.02,0.8,validation,-43.65052663070493,-1.4614050925480349,46.0273237610965,-51.067509894944855,-1.8087344118174808,60.333724528882044,-0.5754336167770565,0.26661673563366417,0.8417565239218625,45.34568299852418,49.398363624309056,66.94657810160422,90.92643051771117,91.4850136239782,92.23433242506812,66.37181021111152,67.00180540217917,67.48587035407209,50.0,30
risk_grid,0.02,0.8,holdout,34.709024371750594,143.25354745973397,267.12313624777505,46.9918769981561,214.97049745591346,435.90860718680574,0.7230195693786139,1.5015263848420846,2.21716200270309,25.112673266384093,33.980954065005015,46.209057048459364,91.59568427030096,92.22032935831913,92.90743895513911,66.10110744978826,66.72903646739564,67.34170557868785,96.66666666666667,30
risk_grid,0.03,0.8,in_sample,-91.34409426177518,-88.47122182020586,-80.53973352515536,-64.33105298679627,-59.75178770729604,-49.84167894379126,-0.9303761772026979,-0.6568949046932209,-0.36669553888270734,91.65316216333822,93.31074024212711,94.41828804130509,91.24448367166815,91.99029126213591,92.32568402471315,61.93717303068536,62.65406100540591,63.252384502597764,0.0,30
risk_grid,0.03,0.8,validation,-66.32847526080232,-30.545584428743716,35.70179064404496,-74.25171066327228,-36.515879425945826,46.34092508929018,-0.9330441911719962,-0.091843960167491,0.7075380257008405,52.49733179803333,66.34011183366324,80.3947506681392,94.34604904632153,94.61852861035422,95.19073569482289,64.02209337064296,64.62507058751373,65.29233150186538,20.0,30
risk_grid,0.03,0.8,holdout,29.37408799654347,124.29939976204716,395.00434456671786,39.5274717186053,183.72203684743897,688.0069412462907,0.6505534791790841,1.3796972000285925,2.256360573935482,28.32871433368041,35.763131340130755,46.958710249114716,94.3725156161272,94.8892674616695,96.04770017035774,62.15644227326619,63.13277179250247,63.96352260412964,93.33333333333333,30
margincap_grid,0.02,0.9,in_sample,-89.48304167012947,-84.29442772387509,-73.73784576931263,-61.279583928670064,-54.15284269091699,-43.07372790240293,-0.8325390990868583,-0.6450379006724808,-0.3674061789587502,89.07084518413362,93.50075118659186,94.39021621246509,84.85436893203882,85.216240070609,85.73256840247132,73.68412571352135,73.86983911621778,74.41437693283082,0.0,30
margincap_grid,0.02,0.9,validation,-41.95303561867621,-9.115625187882404,46.070360101367484,-49.23239851888609,-11.205714876179883,60.50377573320893,-0.4859115606036302,0.19292529278196902,0.8356995131200423,43.47296426663786,53.77166190733392,68.99472176612072,89.70708446866485,90.39509536784742,91.01498637602181,75.73683584648099,76.23777603416549,76.67744239986169,46.666666666666664,30
margincap_grid,0.02,0.9,holdout,12.93573993179704,117.99133138001632,334.01375489680004,17.137046304778526,173.40565770072504,565.0905969185618,0.472292101928252,1.4243472080146833,2.2230387193255945,29.04106377946365,40.99506470530686,65.34740959217012,90.79500283929586,91.36854060193073,92.86768881317434,75.12477319376917,75.83960042852854,76.89124109775271,90.0,30
