day_idx,day_frac,date,equity,n_overnight,total_uncovered,fee,rate,is_disprop,avg_risk_rub,pct_futures,risk_per_trade,block,risk_rub_bin
42,0.04833141542002301,2022-11-14 00:00:00+00:00,15781.249013618424,12,10130.209801463143,40.0,0.0039485855459995165,True,79.92861554205365,75.0,0.005,in_sample,<1000
43,0.04948216340621404,2022-11-15 00:00:00+00:00,16634.49363260308,3,13996.993967974107,40.0,0.002857756464818246,True,79.70375361995677,33.33333333333333,0.005,in_sample,<1000
44,0.05063291139240506,2022-11-16 00:00:00+00:00,16414.489408181333,13,6742.0392421305805,40.0,0.005932923046493487,True,82.42865699144849,53.84615384615385,0.005,in_sample,<1000
45,0.05178365937859609,2022-11-17 00:00:00+00:00,16289.872715282158,15,13399.963420001297,40.0,0.0029850827756958257,True,82.38116233137625,46.666666666666664,0.005,in_sample,<1000
46,0.05293440736478711,2022-11-18 00:00:00+00:00,15820.609460321795,13,11975.009074241156,40.0,0.0033402897444179814,True,82.00668522834818,46.15384615384615,0.005,in_sample,<1000
47,0.05408515535097814,2022-11-19 00:00:00+00:00,15780.609460321795,14,16722.851773161972,40.0,0.002391936527488383,True,81.79928251929537,42.857142857142854,0.005,in_sample,<1000
48,0.05523590333716916,2022-11-20 00:00:00+00:00,15740.609460321795,14,16762.851773161972,40.0,0.0023862288196118083,True,81.79928251929537,42.857142857142854,0.005,in_sample,<1000
49,0.05638665132336018,2022-11-21 00:00:00+00:00,15373.40611767364,7,3783.4648772714695,0.0,0.0,False,78.29215857858158,57.14285714285714,0.005,in_sample,<1000
50,0.05753739930955121,2022-11-22 00:00:00+00:00,15668.031361933983,11,7686.097799169123,40.0,0.005204201279396165,True,77.77393021850396,45.45454545454545,0.005,in_sample,<1000
51,0.05868814729574223,2022-11-23 00:00:00+00:00,15881.432129649596,11,3783.4648772714695,0.0,0.0,False,78.23577204757304,54.54545454545454,0.005,in_sample,<1000
52,0.05983889528193326,2022-11-24 00:00:00+00:00,15713.619461306638,10,11237.030976362723,40.0,0.0035596591380891137,True,78.16422510071416,40.0,0.005,in_sample,<1000
53,0.06098964326812428,2022-11-25 00:00:00+00:00,15414.896591716639,9,8730.824817764049,40.0,0.004581468628097378,True,77.71352775178515,44.44444444444444,0.005,in_sample,<1000
54,0.06214039125431531,2022-11-26 00:00:00+00:00,15374.896591716639,10,12173.060403782096,40.0,0.0032859444275469335,True,77.64962327246495,40.0,0.005,in_sample,<1000
