risk_per_trade,block,n_candidate_trades,return_pct_p10,return_pct_median,return_pct_p90,cagr_pct_p10,cagr_pct_median,cagr_pct_p90,sharpe_p10,sharpe_median,sharpe_p90,max_dd_pct_p10,max_dd_pct_median,max_dd_pct_p90,pct_infeasible_p10,pct_infeasible_median,pct_infeasible_p90,pct_disprop_p10,pct_disprop_median,pct_disprop_p90,pct_missed_profit_p10,pct_missed_profit_median,pct_missed_profit_p90,avg_margin_util_p10,avg_margin_util_median,avg_margin_util_p90,pct_runs_positive
0.0015,in_sample,5491,73.19012666350673,78.0764304629437,81.13023057095556,26.03323289034409,27.519191666872366,28.43591612592743,1.3440404593464077,1.406504160687446,1.4467497342635847,19.9817481189313,20.84645019498977,21.465973782330888,51.008700182008184,51.20976225541764,51.42075689603142,54.12738853503184,55.14605210472611,56.034515245360694,0.0,0.0,0.0,28.274046830317257,28.355618783532197,28.408419683127008,100.0
0.0015,validation,3390,50.821982181524774,58.907114720880955,62.481552659091015,66.90590859455028,78.1323415197807,83.14226059016227,2.1946560153608594,2.4245757963839196,2.555501236986901,7.975768006828736,8.186658498790408,8.932292909017255,37.15963484508734,37.84766807375395,38.15576651273175,65.82733812949641,67.74796769082928,68.72983923330649,0.0,0.11355034065102196,0.3028009084027252,34.88687033363851,35.0249041979768,35.200539771788094,100.0
0.0015,holdout,4226,53.709097197785745,56.0298034955195,64.90877933025575,74.1652173220089,77.56636497809146,90.71403561115714,2.0800979240094843,2.161564167798733,2.38751674333075,9.445922012361661,10.354920378473608,11.039644402221882,34.90756393682707,35.48524322194345,36.20181594723145,76.26868265554397,77.65567765567766,78.60565443889733,0.12562814070351758,0.28266331658291455,0.5653266331658292,43.457240999695884,43.75242713475496,44.46871513996735,100.0
0.002,in_sample,5491,112.93042390456968,119.86178605961275,130.3378092182722,37.492828115868264,39.36082610784444,42.120695033503395,1.4207602322880133,1.4766356701477643,1.562181769543149,22.958301200194647,24.05511676622086,25.048190055493055,45.13054242729349,45.52198851483725,45.98198299838617,64.62570216668578,65.36030341340076,66.04581941083842,0.8542713567839196,1.0050251256281406,1.1608040201005025,37.37690638215183,37.42997251791688,37.523601725919704,100.0
0.002,validation,3390,95.80685333629575,101.66789187768853,111.1430267155196,131.09411358001185,139.74869273265693,153.87172203363045,2.6896806948427545,2.785239680130861,2.997963563238122,10.211673548278577,10.5179960485072,11.228925062807424,29.744333586898414,30.272392499708502,30.713389228074355,62.40155710009378,63.71859034511521,65.24539170506914,3.1037093111279335,3.557910673732021,3.785011355034065,45.47768869919131,45.795711338757044,45.98222902032133,100.0
0.002,holdout,4226,105.25371016431457,115.27020287818772,128.52408884917395,152.96139491858295,169.00562843736964,190.5701790746398,2.6517100664674684,2.85937507778681,3.0422881430620285,11.41641532371336,12.26859728229071,13.351773516068322,28.79061552670329,29.50114722604631,29.867734626694748,60.577207961860644,63.91960068699012,67.62773722627738,9.597989949748744,10.458542713567839,11.532663316582916,54.88560123531307,55.173236336641025,55.40598708110422,100.0
0.0025,in_sample,5491,135.92635307281782,155.10668561159898,172.84137283623,43.56326592012197,48.369180473011255,52.6300283069258,1.3308899779694128,1.4419679086768349,1.544817158041135,24.824102872850194,26.564730378489525,27.923656169874388,40.90572176952005,41.61141996062122,42.406402314780955,67.60788491434072,68.28192576398459,68.97374261520903,4.356783919597991,4.673366834170854,4.974874371859297,45.31515346686201,45.474518148413864,45.581862698704754,100.0
0.0025,validation,3390,124.66730663688081,141.95924562823043,157.8234401626744,174.29958036574732,200.86519026746902,225.6494699280494,2.725975408862021,2.924224072713847,3.113816135049522,11.812557105061158,12.109445976159641,12.590812677124177,24.256982128371398,24.801282635886487,25.502762874448727,54.42413505026935,56.660095747676706,58.957855629408186,14.299772899318697,15.064345193035578,16.290688872066614,53.66627540027507,53.90149057942196,54.09132992627663,100.0
0.0025,holdout,4226,107.50596432479406,131.37907871148516,164.1621592685728,156.55664339380272,195.26396660592064,250.33407523051662,2.3477291312999222,2.643133873802234,3.0346656321712655,12.496679561257151,13.631874582260757,14.943989575755149,24.994714585774695,26.405611534821574,27.559491299587076,53.35793357933579,56.08856088560886,62.33726273726274,27.261306532663315,28.643216080402013,30.34547738693467,61.66428080727985,61.8941354953494,62.17783254668355,100.0
0.003,in_sample,5491,156.13924083903166,172.37821631865222,219.2755181880651,48.6218694172143,52.520687739999616,63.06683771632103,1.2843510072785,1.3795827833482235,1.5507008899771464,26.3452470283,28.55836375839637,29.82588360863531,36.91844068508335,38.199815595693565,39.338475396383735,62.32552619468598,66.31314970999468,69.36589352428393,11.0,11.331658291457288,11.86934673366834,51.3166310562459,51.484149692782665,51.73572706182625,100.0
0.003,validation,3390,127.19025682203686,149.51099468843847,178.46376614094083,178.14469883133177,212.61389858415384,258.46198275118,2.4743864311762453,2.6788578653007273,3.000174905489172,13.231345780022592,13.358666838128567,14.128913463966573,21.773414075178476,22.170890042673683,22.701080672282355,52.71190275096525,55.31570217185732,56.90106215578285,27.32021196063588,28.122634367903103,29.60635881907646,58.942082464428516,59.10791560519509,59.402082571285185,100.0
0.003,holdout,4226,114.64447836518498,154.0213654168241,193.44436767721658,168.00174445907217,233.07760009832714,301.2492663374551,2.0858145275523974,2.5473347542786136,2.919390488200462,13.589075560194441,15.021221214923564,17.482704738002845,23.157771483784362,23.923935822584756,24.75598123757799,49.48920230426516,54.49074074074074,59.766226283080215,40.571608040201006,41.52010050251256,42.336683417085425,64.90443790094282,65.14660899298238,65.36348972395213,100.0
0.005,in_sample,5491,46.37030534920127,131.42534508638929,212.20965999420173,17.406102266090564,42.40109040149018,61.546489087791656,0.5080929762949866,0.9341684861069444,1.2412927985310502,33.638022782767464,41.300136761818045,52.022191006247034,28.82010170000462,31.63772418383074,35.329862672638654,58.300624053554365,65.52355943613446,74.64750755472569,41.24120603015075,41.68341708542714,42.62311557788944,61.94999209077698,62.12500557777227,62.31907658305785,100.0
0.005,validation,3390,63.55927875008574,85.51947446977798,123.94464835427088,84.65656510736908,116.05831185983152,173.20144877428356,1.3660964166193832,1.5909678301041241,2.048575328752105,22.70716646761808,24.089372465255813,25.65039636675211,17.57626755125969,18.343266237366198,18.851735323995957,41.64291848502375,45.1827054932645,48.450892857142854,57.441332323996974,58.97047691143074,59.651778955336866,67.3047431676028,67.46027887640145,67.80894224747746,100.0
0.005,holdout,4226,78.57203476015017,144.35636061840495,257.04432748702413,111.35124688712386,216.80891219468387,416.84890704988294,1.4482698398243417,2.1399436275119696,2.7737220277359795,16.81344135140641,21.82043921955904,31.594418609719217,17.966898954703833,19.336494496358384,21.766033733865786,45.49601132269686,51.46603756242533,67.44322344322345,62.72613065326633,63.85050251256281,65.08165829145729,68.8593641215033,69.20657446777345,69.4792073096121,100.0
0.007,in_sample,5491,-61.76847507781366,-14.08975666282392,105.91934534127648,-33.306910166291715,-6.197535562177747,35.56702288129699,-0.6431449602033968,0.04059582706283767,0.7758719712047689,48.21236752051744,61.7713004876317,77.47820909171368,27.378273147888684,32.78261649503941,37.97553577691207,65.38674893159369,75.14068483787301,78.01298066857423,55.67336683417085,56.608040201005025,57.753768844221106,64.59244496449091,64.83392846010642,65.08775037371541,43.333333333333336
0.007,validation,3390,13.899765577496096,56.511855488280446,92.08901283807911,17.614451405017395,74.79343360720098,125.63781648734096,0.4991372012971372,1.1416422166046853,1.5864975873249423,25.247981829740834,28.028757442108727,32.52278715078517,14.011720450420114,15.111940298507461,15.839203874767383,37.63484008025493,42.53554059109615,48.06473829201102,70.40121120363361,71.38531415594247,72.46782740348222,68.61258594917597,68.88027408103454,69.09095161500969,100.0
0.007,holdout,4226,81.43992758121088,153.5112147835777,219.72065684270433,115.75169642484154,232.21499588819137,348.24071016332454,1.4256963176108364,2.0042773794287703,2.585078475158223,17.77124966197669,28.782360854452065,36.623278541576354,15.822372601347059,17.401697709495245,19.48865804213236,43.21320738059504,53.07770825012204,59.34629456919434,74.16457286432161,75.81658291457286,77.01005025125627,69.59181383765599,70.0496788951833,70.31211159299086,100.0
0.01,in_sample,5491,-79.08152244059859,-71.82718223389274,-7.8869959667333305,-48.269051304819016,-41.35589677534712,-3.42597450698995,-0.9739187625027635,-0.7507319210313699,0.11214073355159035,58.27242012605876,82.97893826671404,89.10559321380596,24.200591388533322,34.99115681907507,40.447261472377114,55.44433682333226,68.20162327101502,74.26785629837475,68.69346733668343,69.84924623115577,70.71859296482413,65.72926945517557,66.03925360499854,66.3599220455139,10.0
0.01,validation,3390,-13.638612713292748,18.175551844615967,48.71971089300875,-16.7052872692938,23.151090421611762,64.01186951451535,-0.03962832868104989,0.5332305938331218,0.9878718385487939,28.292277034944593,33.61071908254452,41.93919037291185,12.473962527741374,13.531466594543161,15.151003585898572,36.37702127659574,41.631048575796335,48.01470588235295,79.6214988644966,80.09084027252081,80.93111279333839,68.63541189955909,68.99202989814657,69.28973532144651,70.0
0.01,holdout,4226,55.81950300832767,164.58108958558284,271.19759296709015,77.36492789574038,251.08715697703468,443.44185758100707,1.0716054918865519,1.9003296489189414,2.534438956794521,19.53515446766555,32.28858232390041,43.22800197874012,12.1595838688946,14.845366073019456,17.001443001443004,39.89957573569236,52.331729977267486,66.67276393489847,82.07914572864321,82.97738693467338,84.17713567839196,69.12312176002439,69.51354631613734,69.9488061428333,100.0
