risk_per_trade,block,return_pct_p10,return_pct_median,return_pct_p90,cagr_pct_p10,cagr_pct_median,cagr_pct_p90,sharpe_p10,sharpe_median,sharpe_p90,max_dd_pct_p10,max_dd_pct_median,max_dd_pct_p90,pct_infeasible_p10,pct_infeasible_median,pct_infeasible_p90,pct_disprop_p10,pct_disprop_median,pct_disprop_p90,pct_missed_profit_p10,pct_missed_profit_median,pct_missed_profit_p90,avg_margin_util_p10,avg_margin_util_median,avg_margin_util_p90,pct_runs_positive
0.0015,in_sample,141.98332405657442,151.91327355892764,168.4603848011037,45.104074072255244,47.5839380797469,51.59266498481174,2.050934598201244,2.153347962088068,2.2757562835708307,13.367579716938394,16.48833863758913,18.788925282594004,52.69505214195961,53.47227882138833,54.11167520360213,56.231641123882504,56.84144341259446,57.90086471028801,0.0,0.0441306266548985,0.088261253309797,33.14943460102705,33.33704329233594,33.427127663669275,100.0
0.0015,validation,66.56604506020062,73.51800742590453,82.19747173370646,88.8977828544661,98.77595476555913,111.24610541869902,2.6729130902834535,2.8852044908180856,3.101637012049322,8.755351827341645,8.89484690354727,9.437037556471722,40.06040896541217,40.48414866716974,41.16246494231724,68.01470588235294,69.48529411764706,70.58823529411765,0.19754768392370572,0.2724795640326975,0.3405994550408719,38.7350122592069,39.03016745131009,39.206462180934544,100.0
0.0015,holdout,47.32685505480758,57.38319588522229,67.64458020555746,64.88895685986726,79.55669396324119,94.8075753933314,1.8662353789983177,2.181679028468033,2.4528372568005836,8.350369732237862,9.073591919017488,10.049440133874022,40.03648970257801,40.62338956873931,41.596575340983364,76.88644688644689,78.2051282051282,79.53116226838854,0.6814310051107325,1.0505394662123793,1.31175468483816,46.10026863298435,46.443145722736645,47.13271700878411,100.0
0.002,in_sample,218.9694691137803,244.64186393317456,276.55535279126326,63.01199613977558,68.41569119220631,74.81766638270898,2.081828429822547,2.206894538545192,2.3471270834407387,17.237227909576358,19.54590149015914,22.339025538156275,46.47102071598389,47.30690141525807,47.95823898650004,61.56317984046411,62.795022252920894,63.920703773483865,1.8534863195057367,2.118270079435128,2.3389232127096204,43.48844924112093,43.69935239432202,43.87707315563102,100.0
0.002,validation,120.05523129795206,135.61883652050273,148.91373869526228,167.2982052736834,191.07024285377187,211.68069584558685,3.189793462144197,3.402027961960129,3.6422690843624643,10.558734269740167,10.686198667545733,10.8863692888815,32.313655955798914,32.941531075850435,34.07390188607271,63.3955223880597,65.31365313653137,67.73234200743495,3.998637602179836,4.700272479564033,5.456403269754769,49.86727640662357,50.23039705901591,50.46934572584626,100.0
0.002,holdout,81.00778931019232,94.58912332011242,119.18749267881871,115.07751067168012,136.12778753603237,175.3401056707576,2.207236665600167,2.4812444516145398,2.8201518338654754,11.425681412866396,12.522987105796552,14.168228940660791,34.83905577983733,35.42005222270877,36.05557297807277,68.4981684981685,70.38381326702495,73.68071043347797,12.640545144804088,14.11130039750142,15.065303804656446,57.68399285747708,57.8985760564305,58.15396315583419,100.0
0.0025,in_sample,300.3530553838456,349.68901401351866,395.5452544781889,79.3896574161983,88.39052147888847,96.25684226461061,2.0630613957173978,2.230021833127692,2.3564311970398366,19.368985674153375,21.497629699299825,24.812319991799296,41.22145479107367,42.29058626760518,43.30032423814807,59.89650711513583,61.856531762377905,63.22130855644404,7.36098852603707,7.855251544571932,8.168578993821713,51.49230717257132,51.70277665359309,51.925775787638194,100.0
0.0025,validation,149.66267644740662,172.17066931544514,194.39786366695614,212.84991544917193,248.3916361695209,284.2100725777375,3.109626674863435,3.3663765718704894,3.6195075557585974,12.528989525279577,12.74497016305374,13.056129918648496,27.594386109760208,28.151383414269617,28.845631507469445,55.3236070627375,58.221310739199424,60.56361607142857,22.057220708446867,22.683923705722073,23.828337874659404,57.61725606651736,57.95553367061535,58.116986086817064,100.0
0.0025,holdout,80.06655786053933,110.13401119418502,139.45336693861816,113.63573360158476,160.75068749764122,208.6340572392736,1.9088211977041762,2.3667499242408367,2.7628934226231547,12.091353870403026,15.112551932771057,18.175064405671034,30.714062556661116,32.36544194666022,33.72512363122571,60.10353729910925,65.19211461753453,71.54867969085446,31.4877910278251,32.85065303804656,33.85008517887564,63.67938380570493,63.99096732583895,64.35189404198474,100.0
0.003,in_sample,284.91293962464704,400.08528294694725,471.19456404670285,76.4414409792304,97.01118501341554,108.3618412923491,1.7965660254528488,2.1176099300438844,2.283991444582207,19.351608246664977,22.703277680946385,26.264463487344955,37.38206059685939,39.08996978323844,40.553843499555796,61.66054002088708,63.37515512411575,65.69234346164465,17.64783759929391,18.468667255075022,19.254192409532212,56.803213415049626,57.03863089752548,57.29480107551303,100.0
0.003,validation,148.1461455657451,180.6220074312249,199.1098399560727,210.4826193496562,261.9285679615305,291.89023418529575,2.8111189653797046,3.105268708966317,3.2430228300120274,14.646209276897222,14.878771985490424,15.020651519103204,25.317313589766055,25.77841684272798,26.275878479820232,52.451209992193604,55.66644252374002,58.350622406639005,33.69209809264305,34.67302452316076,35.858310626703,62.3982195897711,62.710634388649964,62.933147843515876,100.0
0.003,holdout,68.61798010757825,104.43664922212218,137.32393502642836,96.27142606621081,151.66350143954838,205.09468541241012,1.5268466821841606,2.0840307903478004,2.4279196081471994,15.305190162598235,20.010996606194276,24.951860386168573,29.072304840916114,30.408305149946305,32.30287884410649,57.719020462931894,66.7892156862745,74.37762237762239,45.41169789892107,47.18909710391823,48.898353208404316,66.5360012404362,66.84401600411023,67.08053141958489,100.0
