time,open,high,low,close,volume
2025-07-21 05:45,112100.000000,112100.000000,111670.000000,111670.000000,3
2025-07-21 06:00,112600.000000,112620.000000,112290.000000,112290.000000,10
2025-07-21 06:15,112200.000000,112200.000000,111990.000000,111990.000000,6
2025-07-21 06:30,112060.000000,112170.000000,112040.000000,112040.000000,6
2025-07-21 06:45,112040.000000,112140.000000,111990.000000,112140.000000,12
2025-07-21 07:00,111970.000000,112120.000000,111970.000000,112120.000000,5
2025-07-21 07:15,112140.000000,112200.000000,112140.000000,112200.000000,3
2025-07-21 07:30,112290.000000,112290.000000,111870.000000,112080.000000,8
2025-07-21 07:45,112100.000000,112100.000000,112010.000000,112010.000000,4
2025-07-21 08:15,112140.000000,112250.000000,112140.000000,112250.000000,3
2025-07-21 08:30,112280.000000,112280.000000,112280.000000,112280.000000,2
2025-07-21 08:45,112500.000000,112500.000000,112440.000000,112440.000000,5
2025-07-21 09:00,112550.000000,112580.000000,112510.000000,112570.000000,24
2025-07-21 09:45,112930.000000,113150.000000,112900.000000,113150.000000,16
2025-07-21 10:00,113100.000000,113270.000000,113080.000000,113260.000000,11
2025-07-21 10:15,113200.000000,113200.000000,113200.000000,113200.000000,1
2025-07-21 10:30,113080.000000,113160.000000,112870.000000,112940.000000,14
2025-07-21 10:45,112970.000000,113030.000000,112970.000000,113030.000000,2
2025-07-21 11:00,113280.000000,113280.000000,113090.000000,113090.000000,6
2025-07-21 11:15,113050.000000,113050.000000,112750.000000,112750.000000,17
2025-07-21 11:30,112940.000000,112980.000000,112940.000000,112980.000000,2
2025-07-21 12:00,112920.000000,112920.000000,112920.000000,112920.000000,1
2025-07-21 12:15,113000.000000,113000.000000,113000.000000,113000.000000,1
2025-07-21 12:30,113160.000000,113160.000000,113160.000000,113160.000000,1
2025-07-21 13:30,113260.000000,113400.000000,113260.000000,113400.000000,27
2025-07-21 14:00,113300.000000,113320.000000,113300.000000,113320.000000,2
2025-07-21 14:15,113330.000000,113330.000000,113310.000000,113320.000000,11
2025-07-21 14:30,113510.000000,113580.000000,113490.000000,113490.000000,12
2025-07-21 14:45,113590.000000,113600.000000,113590.000000,113600.000000,2
2025-07-21 15:15,113480.000000,113480.000000,113480.000000,113480.000000,1
2025-07-21 15:30,113460.000000,113590.000000,113460.000000,113550.000000,3
2025-07-21 16:00,113720.000000,113720.000000,113560.000000,113570.000000,3
