time,open,high,low,close,volume
2025-07-21 06:00,83939.000000,83996.000000,83800.000000,83941.000000,164
2025-07-21 06:15,83861.000000,83925.000000,83852.000000,83925.000000,35
2025-07-21 06:30,83910.000000,83910.000000,83876.000000,83909.000000,121
2025-07-21 06:45,83910.000000,83926.000000,83857.000000,83875.000000,293
2025-07-21 07:00,83894.000000,83894.000000,83720.000000,83790.000000,463
2025-07-21 07:15,83733.000000,83763.000000,83683.000000,83734.000000,153
2025-07-21 07:30,83726.000000,83736.000000,83673.000000,83736.000000,92
2025-07-21 07:45,83727.000000,83737.000000,83704.000000,83722.000000,151
2025-07-21 08:00,83712.000000,83756.000000,83700.000000,83756.000000,224
2025-07-21 08:15,83753.000000,83754.000000,83642.000000,83690.000000,316
2025-07-21 08:30,83729.000000,83729.000000,83690.000000,83690.000000,97
2025-07-21 08:45,83696.000000,83703.000000,83679.000000,83685.000000,341
2025-07-21 09:00,83658.000000,83708.000000,83609.000000,83698.000000,133
2025-07-21 09:15,83668.000000,83723.000000,83650.000000,83665.000000,289
2025-07-21 09:30,83650.000000,83650.000000,83635.000000,83649.000000,628
2025-07-21 09:45,83645.000000,83645.000000,83521.000000,83564.000000,363
2025-07-21 10:00,83570.000000,83575.000000,83520.000000,83566.000000,82
2025-07-21 10:15,83562.000000,83564.000000,83511.000000,83515.000000,90
2025-07-21 10:30,83517.000000,83545.000000,83510.000000,83510.000000,253
2025-07-21 10:45,83510.000000,83511.000000,83402.000000,83447.000000,1012
2025-07-21 11:00,83438.000000,83447.000000,83400.000000,83440.000000,160
2025-07-21 11:15,83427.000000,83473.000000,83427.000000,83463.000000,128
2025-07-21 11:30,83448.000000,83480.000000,83445.000000,83480.000000,168
2025-07-21 11:45,83477.000000,83508.000000,83448.000000,83508.000000,35
2025-07-21 12:00,83520.000000,83536.000000,83520.000000,83536.000000,45
2025-07-21 12:15,83529.000000,83542.000000,83485.000000,83485.000000,89
2025-07-21 12:30,83506.000000,83506.000000,83407.000000,83407.000000,70
2025-07-21 12:45,83415.000000,83438.000000,83408.000000,83423.000000,62
2025-07-21 13:00,83421.000000,83462.000000,83416.000000,83455.000000,122
2025-07-21 13:15,83455.000000,83481.000000,83378.000000,83378.000000,218
2025-07-21 13:30,83380.000000,83465.000000,83365.000000,83441.000000,109
2025-07-21 13:45,83450.000000,83453.000000,83382.000000,83391.000000,125
2025-07-21 14:00,83412.000000,83428.000000,83348.000000,83348.000000,276
2025-07-21 14:15,83349.000000,83431.000000,83349.000000,83431.000000,196
2025-07-21 14:30,83420.000000,83420.000000,83390.000000,83413.000000,9
2025-07-21 14:45,83414.000000,83452.000000,83414.000000,83441.000000,105
2025-07-21 15:00,83455.000000,83491.000000,83379.000000,83392.000000,262
2025-07-21 15:15,83377.000000,83385.000000,83360.000000,83360.000000,82
2025-07-21 15:30,83354.000000,83354.000000,83302.000000,83302.000000,404
2025-07-21 15:45,83305.000000,83305.000000,83240.000000,83303.000000,344
